,hgt,WIN_obs,PRE_pre,PRS_pre,RHU_pre,TMP_pre,WIN_pre,D2_pre,DIR10_pre,U10_pre,V10_pre,lon,lat
hgt,1.0,-0.013520828786174796,-0.0317787820272655,-0.9897930003924973,-0.14510195081721886,-0.35190340200845716,-0.18193691563610973,-0.43250889610648957,0.10367793348198848,0.2169301363554125,0.13499331625529706,-0.8033642661115821,0.4917433429598622
WIN_obs,-0.013520828786174796,1.0,0.003839581281846632,0.027029660330137435,-0.10754598929272433,0.10152944634464187,0.5247793062199589,0.016819977071396486,-0.08650107406193872,-0.10327012287276334,-0.04014818539892744,0.05026136877983655,-0.20513035838287405
PRE_pre,-0.0317787820272655,0.003839581281846632,1.0,0.02590143078575327,0.13982503645324612,0.0027101491467367723,0.014074394839417935,0.07941986938018006,0.0002605720418883069,-0.000846436912226978,-0.03202449156768496,0.03284552708659419,-0.0038684423023393893
PRS_pre,-0.9897930003924973,0.027029660330137435,0.02590143078575327,1.0,0.1369667855579456,0.30435123644465023,0.1877591909964047,0.38399252534258205,-0.12051365943446031,-0.231251299563813,-0.16918899504891263,0.8228584050722227,-0.5038773989443794
RHU_pre,-0.14510195081721886,-0.10754598929272433,0.13982503645324612,0.1369667855579456,1.0,-0.2449302527410993,-0.11981573068217373,0.39470606193838453,-0.052212882200114046,-0.1765492886228679,-0.14740879711124646,0.19413561463732643,-0.04938216020033271
TMP_pre,-0.35190340200845716,0.10152944634464187,0.0027101491467367723,0.30435123644465023,-0.2449302527410993,1.0,0.13729709454874062,0.7844108487057543,0.06838769163473149,0.0829745895815166,0.3647619486914432,0.21372379449469592,-0.3998258907159697
WIN_pre,-0.18193691563610973,0.5247793062199589,0.014074394839417935,0.1877591909964047,-0.11981573068217373,0.13729709454874062,1.0,0.0433036802267119,-0.13113014271228302,-0.1903915358723675,-0.04152894202544577,0.22156383216716102,-0.20730119552780052
D2_pre,-0.43250889610648957,0.016819977071396486,0.07941986938018006,0.38399252534258205,0.39470606193838453,0.7844108487057543,0.0433036802267119,1.0,0.025726381811112056,-0.05508976828988719,0.24834815487691236,0.3350590710700104,-0.41182914285408717
DIR10_pre,0.10367793348198848,-0.08650107406193872,0.0002605720418883069,-0.12051365943446031,-0.052212882200114046,0.06838769163473149,-0.13113014271228302,0.025726381811112056,1.0,0.5761267207514899,0.2136411630851101,-0.11799437905248845,0.11351811980693219
U10_pre,0.2169301363554125,-0.10327012287276334,-0.000846436912226978,-0.231251299563813,-0.1765492886228679,0.0829745895815166,-0.1903915358723675,-0.05508976828988719,0.5761267207514899,1.0,0.24004759320066948,-0.21410059326184042,0.18019503081432833
V10_pre,0.13499331625529706,-0.04014818539892744,-0.03202449156768496,-0.16918899504891263,-0.14740879711124646,0.3647619486914432,-0.04152894202544577,0.24834815487691236,0.2136411630851101,0.24004759320066948,1.0,-0.13160445309072108,0.029623108449317984
lon,-0.8033642661115821,0.05026136877983655,0.03284552708659419,0.8228584050722227,0.19413561463732643,0.21372379449469592,0.22156383216716102,0.3350590710700104,-0.11799437905248845,-0.21410059326184042,-0.13160445309072108,1.0,-0.31764285461813807
lat,0.4917433429598622,-0.20513035838287405,-0.0038684423023393893,-0.5038773989443794,-0.04938216020033271,-0.3998258907159697,-0.20730119552780052,-0.41182914285408717,0.11351811980693219,0.18019503081432833,0.029623108449317984,-0.31764285461813807,1.0
