,hgt,WIN_obs,PRE_pre,PRS_pre,RHU_pre,TMP_pre,WIN_pre,lon,lat,IMF0,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,pca0,pca1,pca2
hgt,1.0,-0.017937144494375803,-0.02874642484463682,-0.9903914169515954,-0.1155783322460824,-0.35417699344738107,-0.18974342039764122,-0.8033642661115442,0.49174334295985145,-0.2811784236404301,-5.0465134202430804e-05,-6.169674565813646e-06,-2.41630633765235e-06,-1.0203930934042664e-06,-4.137591638225235e-07,-9.905745024085847e-08,-1.7292740207996793e-08,5.8135111955110946e-08,-0.2784884074196292,0.04496782757924676,0.00257291145217679
WIN_obs,-0.017937144494375803,1.0,0.013439939500220183,0.03505728289507456,-0.10719467585128285,0.04198139606983967,0.5342694825768333,0.05569671509170482,-0.20537670646549547,0.48763681494201255,0.3019392237764811,0.14833770875125538,0.04626896769538704,0.017154918292499873,0.008063955677527436,0.0028484233583652234,0.0011879298249447413,0.00015357076485061818,0.5077893958047116,0.23158993808428016,0.10538392027745454
PRE_pre,-0.02874642484463682,0.013439939500220183,1.0,0.025067183928519747,0.13790962209587854,-0.01204395994530585,0.02595494550654274,0.025944636438420238,-0.0044726432816484295,0.034374807497875894,0.014762608725690676,-0.004616025628282941,-0.002370157284954551,-0.0030543633353447472,-0.004665913098563735,-0.00615468628613568,-0.0049183720131277375,-0.003913535445318194,0.035168005558037625,0.008857542493830365,-0.006965153128357984
PRS_pre,-0.9903914169515954,0.03505728289507456,0.025067183928519747,1.0,0.11173527144623573,0.3131242678839635,0.1980774827865011,0.8229057414952382,-0.502551119719037,0.2977722419481678,-0.0020719958319530924,-0.004740684378270003,-0.0013726621966700567,-9.160674225941112e-05,7.872905002160202e-06,2.1048869380915246e-05,-1.8474931592625876e-05,-1.8391373025954297e-05,0.2947212207407319,-0.050040493216569566,-0.007225607209394705
RHU_pre,-0.1155783322460824,-0.10719467585128285,0.13790962209587854,0.11173527144623573,1.0,-0.24897968243349275,-0.09522557050304996,0.16041557286842772,-0.034969099843332005,0.09356353025116858,-0.19628089559868714,-0.17280352099763696,-0.03192093506668688,-0.008016540324764449,-0.0036198481073385727,-0.00039797077698245904,0.0004777490220959507,0.0009052144468714834,0.07598023477615207,-0.22111996595835973,-0.14844265136915094
TMP_pre,-0.35417699344738107,0.04198139606983967,-0.01204395994530585,0.3131242678839635,-0.24897968243349275,1.0,0.07743551738618676,0.22152434398287935,-0.41025630881342423,-0.02707185189312635,0.12003360690736618,0.10833209607367603,0.013870929605255584,0.0015546278924338539,2.9780231220588174e-05,-0.0011604024082905605,-0.0013029617948600676,-0.0012525486296369665,-0.016594826827617887,0.13053514667882996,0.09293438139489958
WIN_pre,-0.18974342039764122,0.5342694825768333,0.02595494550654274,0.1980774827865011,-0.09522557050304996,0.07743551738618676,1.0,0.2351393821120615,-0.20033825675853678,0.721713358798155,0.5585730621496107,0.39685389710302355,0.24771166774586373,0.18242496623373158,0.14216134335253644,0.11445051426094623,0.09625046793930939,0.08171374197732291,0.761802322998074,0.466015200957106,0.3252417677967621
lon,-0.8033642661115442,0.05569671509170482,0.025944636438420238,0.8229057414952382,0.16041557286842772,0.22152434398287935,0.2351393821120615,1.0,-0.31764285461812775,0.34845110532517565,6.127026781707524e-05,9.275156044448391e-06,4.7330993650434585e-06,2.5118954924923627e-06,1.390926895208148e-06,7.452542227374575e-07,4.377692746415248e-07,1.816518276152585e-07,0.3451174096242952,-0.055727647427895696,-0.0031866283049098777
lat,0.49174334295985145,-0.20537670646549547,-0.0044726432816484295,-0.502551119719037,-0.034969099843332005,-0.41025630881342423,-0.20033825675853678,-0.31764285461812775,1.0,-0.2969224446877892,1.4506126126285188e-05,2.5729931347889e-06,8.412257916778097e-07,-4.009920416205312e-07,-7.116847272359018e-07,-5.85901718453713e-07,-4.8994696972034e-07,-3.5097695863022037e-07,-0.29407641346023317,0.04755367351753057,0.002717236238882571
IMF0,-0.2811784236404301,0.48763681494201255,0.034374807497875894,0.2977722419481678,0.09356353025116858,-0.02707185189312635,0.721713358798155,0.34845110532517565,-0.2969224446877892,1.0,0.08038665973347758,0.017235721724857402,0.008643348872209836,0.004746676099616975,0.0027210889463916686,0.0016704141687884054,0.0010627808541922056,0.0006797229349150865,0.9968650838721493,-0.07908759804285745,-0.0022168153996105816
IMF1,-5.0465134202430804e-05,0.3019392237764811,0.014762608725690676,-0.0020719958319530924,-0.19628089559868714,0.12003360690736618,0.5585730621496107,6.127026781707524e-05,1.4506126126285188e-05,0.08038665973347758,1.0,0.06772745985279943,0.021599729778446316,0.009793183842533741,0.005069851633245434,0.002928038420561855,0.0017863930167649736,0.001112679996472773,0.1586622833449641,0.9852538016429728,-0.06398803365130312
IMF2,-6.169674565813646e-06,0.14833770875125538,-0.004616025628282941,-0.004740684378270003,-0.17280352099763696,0.10833209607367603,0.39685389710302355,9.275156044448391e-06,2.5729931347889e-06,0.017235721724857402,0.06772745985279943,1.0,0.07939319079255666,0.02065242831392054,0.008441372826695418,0.004289734687563377,0.0024298388048664874,0.0014470492280067076,0.029647617285025858,0.12821235767556682,0.9906550202436146
IMF3,-2.41630633765235e-06,0.04626896769538704,-0.002370157284954551,-0.0013726621966700567,-0.03192093506668688,0.013870929605255584,0.24771166774586373,4.7330993650434585e-06,8.412257916778097e-07,0.008643348872209836,0.021599729778446316,0.07939319079255666,1.0,0.10355469116802099,0.02385048000524745,0.00967513020997761,0.004889088082418124,0.0027363737698077903,0.011736078848303008,0.02976840198288874,0.11150518626726985
IMF4,-1.0203930934042664e-06,0.017154918292499873,-0.0030543633353447472,-9.160674225941112e-05,-0.008016540324764449,0.0015546278924338539,0.18242496623373158,2.5118954924923627e-06,-4.009920416205312e-07,0.004746676099616975,0.009793183842533741,0.02065242831392054,0.10355469116802099,1.0,0.09648983557912834,0.022452894035987058,0.009158777111391276,0.00461699492091415,0.0059670669069260525,0.011779017131226496,0.02775463868271944
IMF5,-4.137591638225235e-07,0.008063955677527436,-0.004665913098563735,7.872905002160202e-06,-0.0036198481073385727,2.9780231220588174e-05,0.14216134335253644,1.390926895208148e-06,-7.116847272359018e-07,0.0027210889463916686,0.005069851633245434,0.008441372826695418,0.02385048000524745,0.09648983557912834,1.0,0.08656859509526192,0.020248609165381796,0.00823921267674803,0.003297501758686309,0.005687099396109349,0.010279720947869926
IMF6,-9.905745024085847e-08,0.0028484233583652234,-0.00615468628613568,2.1048869380915246e-05,-0.00039797077698245904,-0.0011604024082905605,0.11445051426094623,7.452542227374575e-07,-5.85901718453713e-07,0.0016704141687884054,0.002928038420561855,0.004289734687563377,0.00967513020997761,0.022452894035987058,0.08656859509526192,1.0,0.08076446911591054,0.018598069088905832,0.0019824588519567056,0.0031544207578057793,0.004882738524871117
IMF7,-1.7292740207996793e-08,0.0011879298249447413,-0.0049183720131277375,-1.8474931592625876e-05,0.0004777490220959507,-0.0013029617948600676,0.09625046793930939,4.377692746415248e-07,-4.8994696972034e-07,0.0010627808541922056,0.0017863930167649736,0.0024298388048664874,0.004889088082418124,0.009158777111391276,0.020248609165381796,0.08076446911591054,1.0,0.07359933898260619,0.001246254193322758,0.0018817251002948463,0.0026632346914564884
IMF8,5.8135111955110946e-08,0.00015357076485061818,-0.003913535445318194,-1.8391373025954297e-05,0.0009052144468714834,-0.0012525486296369665,0.08171374197732291,1.816518276152585e-07,-3.5097695863022037e-07,0.0006797229349150865,0.001112679996472773,0.0014470492280067076,0.0027363737698077903,0.00461699492091415,0.00823921267674803,0.018598069088905832,0.07359933898260619,1.0,0.0007918418726580902,0.0011578276549846418,0.0015547312913784664
pca0,-0.2784884074196292,0.5077893958047116,0.035168005558037625,0.2947212207407319,0.07598023477615207,-0.016594826827617887,0.761802322998074,0.3451174096242952,-0.29407641346023317,0.9968650838721493,0.1586622833449641,0.029647617285025858,0.011736078848303008,0.0059670669069260525,0.003297501758686309,0.0019824588519567056,0.001246254193322758,0.0007918418726580902,1.0,6.198843566325212e-16,-9.643207321777292e-17
pca1,0.04496782757924676,0.23158993808428016,0.008857542493830365,-0.050040493216569566,-0.22111996595835973,0.13053514667882996,0.466015200957106,-0.055727647427895696,0.04755367351753057,-0.07908759804285745,0.9852538016429728,0.12821235767556682,0.02976840198288874,0.011779017131226496,0.005687099396109349,0.0031544207578057793,0.0018817251002948463,0.0011578276549846418,6.198843566325212e-16,1.0,2.0612022393911202e-16
pca2,0.00257291145217679,0.10538392027745454,-0.006965153128357984,-0.007225607209394705,-0.14844265136915094,0.09293438139489958,0.3252417677967621,-0.0031866283049098777,0.002717236238882571,-0.0022168153996105816,-0.06398803365130312,0.9906550202436146,0.11150518626726985,0.02775463868271944,0.010279720947869926,0.004882738524871117,0.0026632346914564884,0.0015547312913784664,-9.643207321777292e-17,2.0612022393911202e-16,1.0
